Product Code,Product Description,MRP,Selling Price,Category,Reviews,Offer
BS-AG-G09,Bluetooth Speaker with rich bass and clear sound.,59.99,49.99,Audio Gadgets,4.5/5 from 200 reviews,10% off on first purchase
CU-PG-G06,Copper Mug with a rustic finish for your favorite drinks.,24.99,19.99,Drinkware,4.7/5 from 150 reviews,"Buy 2, get 1 free"
DB-SG-G01,Durable Backpack suitable for travel and daily use.,69.99,59.99,Bags & Accessories,4.8/5 from 300 reviews,15% off on orders over $100
DC-SG-G02,Decorative Candle Set with soothing fragrances.,34.99,29.99,Home Decor,4.6/5 from 250 reviews,20% off on next purchase
FI-AG-G08,Fitness Tracker with heart rate monitor and step counter.,99.99,89.99,Fitness Gadgets,4.4/5 from 400 reviews,Free shipping on orders over $50
FS-SG-G03,Fashion Sunglasses with UV protection.,29.99,24.99,Accessories,4.2/5 from 180 reviews,"Buy 1, get 1 at 50% off"
MB-AG-G07,Metallic Ballpoint Pen with smooth writing experience.,14.99,9.99,Office Supplies,4.9/5 from 500 reviews,5% off on bulk orders
MB-AG-T01,Marble Table Lamp with adjustable brightness.,79.99,69.99,Home Decor,4.3/5 from 100 reviews,Free gift with purchase over $75
PZ-SG-G05,Portable Phone Charger with fast charging capability.,44.99,34.99,Electronics,4.5/5 from 220 reviews,10% off on first purchase
SC-MG-G10,Smart Coffee Maker with programmable settings.,149.99,129.99,Kitchen Appliances,4.7/5 from 350 reviews,Free coffee mug with purchase
SF-BVS-01,Skin-friendly Body Wash with natural ingredients.,19.99,14.99,Personal Care,4.6/5 from 120 reviews,"Buy 2, get 1 free"
SF-BVS-G01,Scented Body Lotion for soft and smooth skin.,16.99,12.99,Personal Care,4.4/5 from 200 reviews,20% off on next purchase
WC-SH-A01,Wireless Charging Pad with fast charge technology.,39.99,29.99,Electronics,4.5/5 from 180 reviews,10% off on first purchase
WC-SH-A02,Waterproof Shower Speaker with Bluetooth connectivity.,49.99,39.99,Audio Gadgets,4.3/5 from 150 reviews,Free shipping on orders over $50
WC-SH-G04,Wrist Watch with classic leather strap.,59.99,49.99,Accessories,4.7/5 from 250 reviews,15% off on first purchase
WC-SH-T02,Wireless Earbuds with noise cancellation.,99.99,79.99,Electronics,4.8/5 from 300 reviews,Free case with purchase
